Project,Disection Date,Name,Fish Species,Fish ID,Stomach ID ,Site,Collection Date,Prey Common Name,Prey Wet Weight (g),Prey,# Prey ,Prey Conditions (1-5),Notes
BOEM,45902,Gracie,Atlantic Croaker,CRO218,CRO218gc2,WO2,45895,crustacean ,<0.1,crustacean ,1,,
BOEM,45902,Gracie,Atlantic Croaker,CRO219,CRO219gc1,WO1,45895,biomatter,0.3,biomatter,1,4,pic
BOEM,45902,Gracie,Atlantic Croaker,CRO219,CRO219gc2,WO1,45895,crustacean ,0.3,crustacean ,1,,
BOEM,45903,Gracie,Atlantic Croaker,CRO221,CRO221gc1,WI1,45895,crustacean ,0.2,crustcean,1,4,
BOEM,45903,Gracie,Atlantic Croaker,CRO221,CRO221gc2,WI1,45895,striped anchovy,0.7,striped anchovy,2,4,
BOEM,45903,Gracie,Atlantic Croaker,CRO223,CRO223gc,WI1,45895,green mush ,0.5,biomatter,-,1,
BOEM,45903,Gracie,Atlantic Croaker,CRO224,CRO224gc,WI1,45895,crustacean ,0.3,crustacean,1,3,
BOEM,45903,Gracie,Atlantic Croaker,CRO225,CRO225gc,WI1,45895,mush ,<0.1,unidentifiable mush ,-,1,
BOEM,45903,Gracie,Atlantic Croaker,CRO226,CRO226gc1,WI1,45895,crustacean ,0.1,crustacean ,1,2,
BOEM,45903,Gracie,Atlantic Croaker,CRO226,CRO226gc2,WI1,45895,biomatter,<0.1,biomatter,-,1,
BOEM,45903,Gracie,Atlantic Croaker,CRO227,CRO227gc1,WI1,45895,crustacean ,0.5,crustacean,2,3,
BOEM,45903,Gracie,Atlantic Croaker,CRO228,CRO227gc2,WI1,45895,polychete ,0.2,,1,2,
BOEM,45903,Gracie,Atlantic Croaker,CRO228,CRO228gc,WI1,45895,mush + veg + sand ,1.3,biomatter,-,1,
BOEM,45903,Gracie,Atlantic Croaker,CRO229,CRO229gc,WI1,45895,mush,<0.1,unidentifiable mush ,-,1,
BOEM,45903,Gracie,Atlantic Croaker,CRO230,CRO230gc1,WI1,45895,anchovy ,1.1,striped anchovy,2,5,
BOEM,45903,Gracie,Atlantic Croaker,CRO230,CRO230gc2,WI2,45895,snail ,0.1,mollusca,1,5,
BOEM,45904,Gracie,Atlantic Croaker,CRO232,CRO232gc,EI1,45894,mush ,0.1,unidentifiable mush ,-,1,
BOEM,45904,Gracie,Atlantic Croaker,CRO233,CRO233gc1,EI1,45894,mush,<0.1,unidentifiable mush ,-,2,
BOEM,45904,Gracie,Atlantic Croaker,CRO233,CRO233gc2,EI1,45894,crustacean,<0.1,crustacean,1,2,
BOEM,45904,Gracie,Atlantic Croaker,CRO235,CRO235gc,EI1,45894,mush ,<0.2,unidentifiable mush ,-,1,
BOEM,45904,Gracie,Atlantic Croaker,CRO237,CRO237gc,EI1,45894,mush ,<0.3,unidentifiable mush ,-,1,
