project,dissection_date,dissector,fish_species,fish_id,stomach_id,site,collection_date,prey_common_name,prey_wet_weight,prey_category,n_prey,prey_condition,notes,stomach_id_base,prey_wet_weight_g,prey_category_clean,has_weight,region,position,station
BOEM,46107,Lindsey,Pinfish,PIN133,PIN133gc,WI1,45348,larva,<0.1,biomatter,-,1,,PIN133gc,0.05,biomatter,TRUE,West,Inner,1
BOEM,46107,Lindsey,Pinfish,PIN135,PIN135gc,WI1,45348,mush,<0.1,unidentifiable mush,-,1,,PIN135gc,0.05,unidentifiable mush,TRUE,West,Inner,1
BOEM,46107,Dannette,Pigfish,PIG010,PIG010gc,WO1,45604,mush,0.2,unidentifiable mush,-,1,,PIG010gc,0.2,unidentifiable mush,TRUE,West,Outer,1
BOEM,46107,Lindsey,Pigfish,PIG009,PIG009gc,WO1,45604,mush,0.3,unidentifiable mush,-,1,,PIG009gc,0.3,unidentifiable mush,TRUE,West,Outer,1
BOEM,46107,Dannette,Pigfish,PIG011,PIG011g1,WO1,45604,mush,0.5,biomatter,-,1,,PIG011g,0.5,biomatter,TRUE,West,Outer,1
BOEM,46107,Dannette,Pigfish,PIG011,PIG011g2,WO1,45604,shrimp,0.3,crustacean,1,5,,PIG011g,0.3,crustacean,TRUE,West,Outer,1
BOEM,46107,Lindsey,Pigfish,PIG012,PIG012gc,WO1,45604,mush,0.8,unidentifiable mush,-,1,,PIG012gc,0.8,unidentifiable mush,TRUE,West,Outer,1
BOEM,45744,Cole,Pinfish,PIN146,PIN146gc,EI2,45338,mush,0.1,unidentifiable mush,-,1,,PIN146gc,0.1,unidentifiable mush,TRUE,East,Inner,2
BOEM,45744,Cole,Pinfish,PIN150,PIN150gc,EI2,45338,biomatter,<0.1,biomatter,-,1,"larvae mush, eggs of some sort? ",PIN150gc,0.05,biomatter,TRUE,East,Inner,2
BOEM,45747,Cole,Striped Anchovy,STA109,STA109gc,WO3,45348,mush,0.2,unidentifiable mush,-,1,,STA109gc,0.2,unidentifiable mush,TRUE,West,Outer,3
BOEM,45747,Cole,Striped Anchovy,STA110,STA110gc,WO3,45348,mush,0.1,unidentifiable mush,-,1,,STA110gc,0.1,unidentifiable mush,TRUE,West,Outer,3
BOEM,45747,Cole,Striped Anchovy,STA111,STA111gc,EI2,45338,mush,<0.1,unidentifiable mush,-,1,,STA111gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45747,Cole,Striped Anchovy,STA113,STA113gc,EI2,45338,mush,<0.1,unidentifiable mush,-,1,,STA113gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45747,Cole,Striped Anchovy,STA118,STA118gc,EI2,45338,mush,<0.1,unidentifiable mush,-,1,,STA118gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45747,Cole,Striped Anchovy,STA120,STA120gc,EI2,45338,mush,<0.1,unidentifiable mush,-,1,,STA120gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45747,Cole,Striped Anchovy,STA122,STA122gc,EI2,45338,mush,<0.1,unidentifiable mush,-,1,,STA122gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45747,Dannette,Striped Anchovy,STA115,STA115gc,EI2,45338,mush,<0.1,unidentifiable mush,-,1,,STA115gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45747,Dannette,Striped Anchovy,STA123,STA123gc,EI2,45338,mush,<0.1,unidentifiable mush,-,1,,STA123gc,0.05,unidentifiable mush,TRUE,East,Inner,2
BOEM,45749,Dannette,Striped Anchovy,STA124,STA124gc,EI1,45338,mush,<0.1,unidentifiable mush,-,1,,STA124gc,0.05,unidentifiable mush,TRUE,East,Inner,1
BOEM,45749,Lindsey,Striped Anchovy,STA125,STA125gc,EI1,45338,mush,<0.1,unidentifiable mush,-,1,,STA125gc,0.05,unidentifiable mush,TRUE,East,Inner,1
BOEM,45749,Lindsey,Striped Anchovy,STA127,STA127gc,EI1,45338,mush,<0.1,unidentifiable mush,-,1,,STA127gc,0.05,unidentifiable mush,TRUE,East,Inner,1
BOEM,45749,Lindsey,Striped Anchovy,STA130,STA130gc,EI1,45338,mush,<0.1,unidentifiable mush,-,1,,STA130gc,0.05,unidentifiable mush,TRUE,East,Inner,1
BOEM,45749,Lindsey,Striped Anchovy,STA132,STA132gc,EI1,45338,mush,<0.1,unidentifiable mush,-,1,,STA132gc,0.05,unidentifiable mush,TRUE,East,Inner,1
BOEM,45749,Dannette,Striped Anchovy,STA131,STA131gc,EI1,45338,mush,<0.1,unidentifiable mush,-,1,,STA131gc,0.05,unidentifiable mush,TRUE,East,Inner,1
BOEM,45749,Dannette,Striped Anchovy,STA133,STA133gc,EI1,45338,mush,<0.1,unidentifiable mush,-,1,,STA133gc,0.05,unidentifiable mush,TRUE,East,Inner,1
BOEM,45750,Cole,Striped Anchovy,STA134,STA134gc,WO2,45348,mush,0.1,unidentifiable mush,-,1,,STA134gc,0.1,unidentifiable mush,TRUE,West,Outer,2
BOEM,45750,Cole,Striped Anchovy,STA135,STA135gc,WO2,45348,mush,0.1,unidentifiable mush,-,1,,STA135gc,0.1,unidentifiable mush,TRUE,West,Outer,2
BOEM,45750,Cole,Striped Anchovy,STA136,STA136gc,WO2,45348,mush,0.1,unidentifiable mush,-,1,,STA136gc,0.1,unidentifiable mush,TRUE,West,Outer,2
BOEM,45750,Cole,Striped Anchovy,STA137,STA137gc,WO2,45348,mush,0.1,unidentifiable mush,-,1,,STA137gc,0.1,unidentifiable mush,TRUE,West,Outer,2
BOEM,45750,Cole,Striped Anchovy,STA138,STA138gc,WO2,45348,mush,0.2,unidentifiable mush,-,1,,STA138gc,0.2,unidentifiable mush,TRUE,West,Outer,2
BOEM,45750,Cole,Striped Anchovy,STA139,STA139gc,WO2,45348,mush,0.2,unidentifiable mush,-,1,,STA139gc,0.2,unidentifiable mush,TRUE,West,Outer,2
BOEM,45754,Cole,Striped Anchovy,STA140,STA140gc,WO2,45348,mush,0.2,unidentifiable mush,-,1,,STA140gc,0.2,unidentifiable mush,TRUE,West,Outer,2
BOEM,45754,Cole,Striped Anchovy,STA141,STA141gc,WO2,45348,mush,<0.1,unidentifiable mush,-,1,,STA141gc,0.05,unidentifiable mush,TRUE,West,Outer,2
BOEM,45754,Cole,Striped Anchovy,STA142,STA142gc,WO2,45348,mush,<0.1,unidentifiable mush,-,1,,STA142gc,0.05,unidentifiable mush,TRUE,West,Outer,2
BOEM,45754,Cole,Striped Anchovy,STA143,STA143gc,WO2,45348,mush,<0.1,unidentifiable mush,-,1,,STA143gc,0.05,unidentifiable mush,TRUE,West,Outer,2
BOEM,45754,Dannette,Striped Anchovy,STA144,STA144gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA144gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45754,Dannette,Striped Anchovy,STA145,STA145gc,WO1,45348,mush,0.1,unidentifiable mush,-,1,,STA145gc,0.1,unidentifiable mush,TRUE,West,Outer,1
BOEM,45754,Cole,Striped Anchovy,STA146,STA146gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA146gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45754,Dannette,Striped Anchovy,STA147,STA147gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA147gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45754,Dannette,Striped Anchovy,STA148,STA148gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA148gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45756,Cole,Striped Anchovy,STA150,STA150gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA150gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45756,Dannette,Striped Anchovy,STA151,STA151gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA151gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45756,Lindsey,Striped Anchovy,STA152,STA152gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA152gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45756,Dannette,Striped Anchovy,STA153,STA153gc,WO1,45348,mush,<0.1,unidentifiable mush,-,1,,STA153gc,0.05,unidentifiable mush,TRUE,West,Outer,1
BOEM,45756,Dannette,Atlantic Croaker,CRO091,CRO091gc,WO3,45224,unknown,1.6,biomatter,1,3,fish?,CRO091gc,1.6,biomatter,TRUE,West,Outer,3
BOEM,45756,Dannette,Atlantic Croaker,CRO093,CRO093gc,WO3,45224,mush,<0.1,unidentifiable mush,-,1,,CRO093gc,0.05,unidentifiable mush,TRUE,West,Outer,3
BOEM,45756,Lindsey,Atlantic Bumper,ATB026,ATB026gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,ATB026gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Cole,Thread Herring,THH064,THH064gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,THH064gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Cole,Thread Herring,THH065,THH065gc,EO3,45224,mush,0.1,unidentifiable mush,-,1,,THH065gc,0.1,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Cole,Thread Herring,THH066,THH066gc,EO3,45224,mush,0.1,unidentifiable mush,-,1,,THH066gc,0.1,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Dannette,Thread Herring,THH067,THH067gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,THH067gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Dannette,Thread Herring,THH068,THH068gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,THH068gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Dannette,Thread Herring,THH069,THH069gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,THH069gc,0.05,unidentifiable mush,TRUE,East,Outer,3
BOEM,45761,Dannette,Thread Herring,THH070,THH070gc,EO3,45224,mush,<0.1,unidentifiable mush,-,1,,THH070gc,0.05,unidentifiable mush,TRUE,East,Outer,3
